Date : 2025-07-04 15:22:10
Directory : /home/tbn/pessoa
Total : 246 files,  33917 codes, 2746 comments, 3949 blanks, all 40612 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/tbn/pessoa/frontend/src/api.test.ts                                                                        | TypeScript         |         23 |          0 |          6 |         29 |
| /home/tbn/pessoa/frontend/src/api.ts                                                                             | TypeScript         |        399 |        215 |         72 |        686 |
| /home/tbn/pessoa/frontend/src/assets/react.svg                                                                   | XML                |          1 |          0 |          0 |          1 |
| /home/tbn/pessoa/frontend/src/components/App.test.tsx                                                            | TypeScript JSX     |          9 |          0 |          1 |         10 |
| /home/tbn/pessoa/frontend/src/components/Auth.module.css                                                         | CSS                |        150 |          5 |         23 |        178 |
| /home/tbn/pessoa/frontend/src/components/Breadcrumb.module.css                                                   | CSS                |         46 |          0 |          5 |         51 |
| /home/tbn/pessoa/frontend/src/components/Breadcrumb.tsx                                                          | TypeScript JSX     |         37 |          0 |          4 |         41 |
| /home/tbn/pessoa/frontend/src/components/Header.module.css                                                       | CSS                |        193 |          3 |         27 |        223 |
| /home/tbn/pessoa/frontend/src/components/Header.tsx                                                              | TypeScript JSX     |        277 |         23 |         43 |        343 |
| /home/tbn/pessoa/frontend/src/components/Login.tsx                                                               | TypeScript JSX     |         90 |         19 |         11 |        120 |
| /home/tbn/pessoa/frontend/src/components/Register.tsx                                                            | TypeScript JSX     |        104 |         19 |          9 |        132 |
| /home/tbn/pessoa/frontend/src/components/ScriptList.module.css                                                   | CSS                |        586 |         17 |         92 |        695 |
| /home/tbn/pessoa/frontend/src/components/ScriptList.tsx                                                          | TypeScript JSX     |        482 |         37 |         54 |        573 |
| /home/tbn/pessoa/frontend/src/components/ScriptUploader.module.css                                               | CSS                |         35 |          0 |          3 |         38 |
| /home/tbn/pessoa/frontend/src/components/ScriptUploader.tsx                                                      | TypeScript JSX     |         99 |          4 |         18 |        121 |
| /home/tbn/pessoa/frontend/src/components/SpeakerNameExtension.ts                                                 | TypeScript         |         50 |          5 |          9 |         64 |
| /home/tbn/pessoa/frontend/src/components/editor/FontSizeDropdown.tsx                                             | TypeScript JSX     |        178 |         16 |         27 |        221 |
| /home/tbn/pessoa/frontend/src/components/editor/FontSizeExtension.ts                                             | TypeScript         |         58 |          6 |          7 |         71 |
| /home/tbn/pessoa/frontend/src/components/editor/README.md                                                        | Markdown           |        173 |          0 |         41 |        214 |
| /home/tbn/pessoa/frontend/src/components/editor/Ruler.tsx                                                        | TypeScript JSX     |        426 |         42 |         41 |        509 |
| /home/tbn/pessoa/frontend/src/components/editor/SpeakerDropdown.tsx                                              | TypeScript JSX     |        133 |          9 |         23 |        165 |
| /home/tbn/pessoa/frontend/src/components/editor/ViewModes/MultiPageView.tsx                                      | TypeScript JSX     |        387 |         44 |         55 |        486 |
| /home/tbn/pessoa/frontend/src/components/editor/ViewModes/SinglePageView.tsx                                     | TypeScript JSX     |        118 |          5 |         10 |        133 |
| /home/tbn/pessoa/frontend/src/components/editor/ViewModes/index.ts                                               | TypeScript         |          2 |          0 |          0 |          2 |
| /home/tbn/pessoa/frontend/src/components/editor/components/AudioTranscription.css                                | CSS                |        325 |          5 |         52 |        382 |
| /home/tbn/pessoa/frontend/src/components/editor/components/AudioTranscription.tsx                                | TypeScript JSX     |        498 |         15 |         84 |        597 |
| /home/tbn/pessoa/frontend/src/components/editor/components/Editor.tsx                                            | TypeScript JSX     |        311 |         35 |         33 |        379 |
| /home/tbn/pessoa/frontend/src/components/editor/components/page/PageCanvas.tsx                                   | TypeScript JSX     |         19 |          5 |          4 |         28 |
| /home/tbn/pessoa/frontend/src/components/editor/components/toolbar/Toolbar.tsx                                   | TypeScript JSX     |        477 |         50 |         63 |        590 |
| /home/tbn/pessoa/frontend/src/components/editor/components/ui/ErrorDisplay.tsx                                   | TypeScript JSX     |         24 |          4 |          4 |         32 |
| /home/tbn/pessoa/frontend/src/components/editor/components/ui/LoadingSpinner.tsx                                 | TypeScript JSX     |         21 |          4 |          3 |         28 |
| /home/tbn/pessoa/frontend/src/components/editor/components/ui/StatusIndicator.tsx                                | TypeScript JSX     |         70 |          4 |          5 |         79 |
| /home/tbn/pessoa/frontend/src/components/editor/config/constants.ts                                              | TypeScript         |        145 |         33 |         31 |        209 |
| /home/tbn/pessoa/frontend/src/components/editor/config/index.ts                                                  | TypeScript         |          1 |          4 |          1 |          6 |
| /home/tbn/pessoa/frontend/src/components/editor/extensions/DialogueBlock.ts                                      | TypeScript         |         95 |         10 |         15 |        120 |
| /home/tbn/pessoa/frontend/src/components/editor/extensions/DialogueText.ts                                       | TypeScript         |         13 |          2 |          3 |         18 |
| /home/tbn/pessoa/frontend/src/components/editor/extensions/Speaker.ts                                            | TypeScript         |         13 |          2 |          3 |         18 |
| /home/tbn/pessoa/frontend/src/components/editor/extensions/index.ts                                              | TypeScript         |          3 |          0 |          0 |          3 |
| /home/tbn/pessoa/frontend/src/components/editor/hooks/index.ts                                                   | TypeScript         |          4 |          0 |          0 |          4 |
| /home/tbn/pessoa/frontend/src/components/editor/hooks/useEditorCore.ts                                           | TypeScript         |        449 |         94 |         77 |        620 |
| /home/tbn/pessoa/frontend/src/components/editor/hooks/useEditorInstance.ts                                       | TypeScript         |        215 |         31 |         25 |        271 |
| /home/tbn/pessoa/frontend/src/components/editor/hooks/useEditorState.ts                                          | TypeScript         |         70 |         14 |         14 |         98 |
| /home/tbn/pessoa/frontend/src/components/editor/hooks/useLayoutManagement.ts                                     | TypeScript         |        142 |         13 |         31 |        186 |
| /home/tbn/pessoa/frontend/src/components/editor/hooks/useResponsiveDesign.ts                                     | TypeScript         |        159 |         22 |         31 |        212 |
| /home/tbn/pessoa/frontend/src/components/editor/hooks/useYjsConnection.ts                                        | TypeScript         |        323 |         40 |         46 |        409 |
| /home/tbn/pessoa/frontend/src/components/editor/index.ts                                                         | TypeScript         |         15 |          7 |          6 |         28 |
| /home/tbn/pessoa/frontend/src/components/editor/styles/responsive.css                                            | CSS                |        408 |         75 |        107 |        590 |
| /home/tbn/pessoa/frontend/src/components/editor/styles/toolbar.css                                               | CSS                |        328 |         51 |         87 |        466 |
| /home/tbn/pessoa/frontend/src/components/editor/styles/variables.css                                             | CSS                |         96 |         38 |         30 |        164 |
| /home/tbn/pessoa/frontend/src/components/editor/types/index.ts                                                   | TypeScript         |        312 |         31 |         69 |        412 |
| /home/tbn/pessoa/frontend/src/components/editor/utils/contentConverters.ts                                       | TypeScript         |        121 |         22 |         25 |        168 |
| /home/tbn/pessoa/frontend/src/components/editor/utils/formatters.ts                                              | TypeScript         |         76 |         27 |          6 |        109 |
| /home/tbn/pessoa/frontend/src/index.css                                                                          | CSS                |        318 |         49 |         60 |        427 |
| /home/tbn/pessoa/frontend/src/main.tsx                                                                           | TypeScript JSX     |         13 |          7 |          3 |         23 |
| /home/tbn/pessoa/frontend/src/mobile-test.html                                                                   | HTML               |        280 |          0 |         37 |        317 |
| /home/tbn/pessoa/frontend/src/test/auth.test.ts                                                                  | TypeScript         |         28 |          1 |          4 |         33 |
| /home/tbn/pessoa/frontend/src/test/mocks/api.ts                                                                  | TypeScript         |         33 |          0 |          5 |         38 |
| /home/tbn/pessoa/frontend/src/test/mocks/data.ts                                                                 | TypeScript         |         30 |          0 |          2 |         32 |
| /home/tbn/pessoa/frontend/src/test/mocks/websocket.ts                                                            | TypeScript         |         37 |          1 |          7 |         45 |
| /home/tbn/pessoa/frontend/src/test/scripts.test.ts                                                               | TypeScript         |         41 |          2 |          8 |         51 |
| /home/tbn/pessoa/frontend/src/test/setup.ts                                                                      | TypeScript         |         15 |          4 |          4 |         23 |
| /home/tbn/pessoa/frontend/src/test/websocket.test.ts                                                             | TypeScript         |         74 |          4 |          8 |         86 |
| /home/tbn/pessoa/frontend/src/types.ts                                                                           | TypeScript         |        105 |         82 |         12 |        199 |
| /home/tbn/pessoa/frontend/src/utils/console-forwarder.ts                                                         | TypeScript         |        136 |         18 |         33 |        187 |
| /home/tbn/pessoa/frontend/src/utils/debug.ts                                                                     | TypeScript         |        122 |          6 |         16 |        144 |
| /home/tbn/pessoa/frontend/src/utils/mobile-debug.ts                                                              | TypeScript         |        189 |          9 |         21 |        219 |
| /home/tbn/pessoa/frontend/src/utils/mobile.ts                                                                    | TypeScript         |        146 |         58 |         38 |        242 |
| /home/tbn/pessoa/frontend/src/vite-env.d.ts                                                                      | TypeScript         |          7 |          2 |          3 |         12 |
| /home/tbn/pessoa/frontend/tsconfig.app.json                                                                      | JSON               |         22 |          2 |          3 |         27 |
| /home/tbn/pessoa/frontend/tsconfig.json                                                                          | JSON with Comments |          7 |          0 |          1 |          8 |
| /home/tbn/pessoa/frontend/tsconfig.node.json                                                                     | JSON               |         20 |          2 |          3 |         25 |
| /home/tbn/pessoa/frontend/vite.config.ts                                                                         | TypeScript         |         51 |          4 |          2 |         57 |
| /home/tbn/pessoa/frontend/vitest.config.ts                                                                       | TypeScript         |         10 |          0 |          1 |         11 |
| /home/tbn/pessoa/gemini_test/gemini_response.json                                                                | JSON               |          1 |          0 |          0 |          1 |
| /home/tbn/pessoa/gemini_test/gemini_response_summary.md                                                          | Markdown           |         75 |          0 |         14 |         89 |
| /home/tbn/pessoa/gemini_test/src/main.rs                                                                         | Rust               |          0 |          0 |          2 |          2 |
| /home/tbn/pessoa/package-lock.json                                                                               | JSON               |        428 |          0 |          1 |        429 |
| /home/tbn/pessoa/package.json                                                                                    | JSON               |         13 |          0 |          1 |         14 |
| /home/tbn/pessoa/prompt/Doc_prompt.md                                                                            | Markdown           |          8 |          0 |          2 |         10 |
| /home/tbn/pessoa/prompt/FEATURES.md                                                                              | Markdown           |         40 |          0 |          8 |         48 |
| /home/tbn/pessoa/prompt/SYSTEM_PROMPT.md                                                                         | Markdown           |         82 |          0 |         20 |        102 |
| /home/tbn/pessoa/prompt/Test_prompt.md                                                                           | Markdown           |         24 |          0 |          2 |         26 |
| /home/tbn/pessoa/scripts/README.md                                                                               | Markdown           |        123 |          0 |         57 |        180 |
| /home/tbn/pessoa/src/main.rs                                                                                     | Rust               |        140 |         12 |         29 |        181 |
| Total                                                                                                            |                    |     33,917 |      2,746 |      3,949 |     40,612 |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
